Winner,Column2
NA,2010 (83rd)
NA,ACTOR IN A LEADING ROLE
Nominee,"Javier Bardem -- Biutiful {""Uxbal""}"
Nominee,"Jeff Bridges -- True Grit {""Rooster Cogburn""}"
Nominee,"Jesse Eisenberg -- The Social Network {""Mark Zuckerberg""}"
Winner,"Colin Firth -- The King's Speech {""King George VI""}"
Nominee,"James Franco -- 127 Hours {""Aron Ralston""}"
NA,ACTOR IN A SUPPORTING ROLE
Winner,"Christian Bale -- The Fighter {""Dicky Eklund""}"
Nominee,"John Hawkes -- Winter's Bone {""Teardrop""}"
Nominee,"Jeremy Renner -- The Town {""James Coughlin""}"
Nominee,"Mark Ruffalo -- The Kids Are All Right {""Paul""}"
Nominee,"Geoffrey Rush -- The King's Speech {""Lionel Logue""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Annette Bening -- The Kids Are All Right {""Nic""}"
Nominee,"Nicole Kidman -- Rabbit Hole {""Becca""}"
Nominee,"Jennifer Lawrence -- Winter's Bone {""Ree""}"
Winner,"Natalie Portman -- Black Swan {""Nina Sayers/The Swan Queen""}"
Nominee,"Michelle Williams -- Blue Valentine {""Cindy""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Amy Adams -- The Fighter {""Charlene Fleming""}"
Nominee,"Helena Bonham Carter -- The King's Speech {""Queen Elizabeth""}"
Winner,"Melissa Leo -- The Fighter {""Alice Ward""}"
Nominee,"Hailee Steinfeld -- True Grit {""Mattie Ross""}"
Nominee,"Jacki Weaver -- Animal Kingdom {""Janine 'Smurf' Cody""}"
NA,DIRECTING
Nominee,Black Swan -- Darren Aronofsky
Nominee,The Fighter -- David O. Russell
Winner,The King's Speech -- Tom Hooper
Nominee,The Social Network -- David Fincher
Nominee,True Grit -- Joel Coen and Ethan Coen
NA,BEST PICTURE
Nominee,"Black Swan -- Mike Medavoy, Brian Oliver and Scott Franklin, Producers"
Nominee,"The Fighter -- David Hoberman, Todd Lieberman and Mark Wahlberg, Producers"
Nominee,"Inception -- Emma Thomas and Christopher Nolan, Producers"
Nominee,"The Kids Are All Right -- Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
Winner,"The King's Speech -- Iain Canning, Emile Sherman and Gareth Unwin, Producers"
Nominee,"127 Hours -- Christian Colson, Danny Boyle and John Smithson, Producers"
Nominee,"The Social Network -- Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers"
Nominee,"Toy Story 3 -- Darla K. Anderson, Producer"
Nominee,"True Grit -- Scott Rudin, Ethan Coen and Joel Coen, Producers"
Nominee,"Winter's Bone -- Anne Rosellini and Alix Madigan-Yorkin, Producers"
NA,2011 (84th)
NA,ACTOR IN A LEADING ROLE
Nominee,"Demián Bichir -- A Better Life {""Carlos Galindo""}"
Nominee,"George Clooney -- The Descendants {""Matt King""}"
Winner,"Jean Dujardin -- The Artist {""George Valentin""}"
Nominee,"Gary Oldman -- Tinker Tailor Soldier Spy {""George Smiley""}"
Nominee,"Brad Pitt -- Moneyball {""Billy Beane""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Kenneth Branagh -- My Week with Marilyn {""Sir Laurence Olivier""}"
Nominee,"Jonah Hill -- Moneyball {""Peter Brand""}"
Nominee,"Nick Nolte -- Warrior {""Paddy Conlon""}"
Winner,"Christopher Plummer -- Beginners {""Hal""}"
Nominee,"Max von Sydow -- Extremely Loud & Incredibly Close {""The Renter""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Glenn Close -- Albert Nobbs {""Albert Nobbs""}"
Nominee,"Viola Davis -- The Help {""Aibileen Clark""}"
Nominee,"Rooney Mara -- The Girl with the Dragon Tattoo {""Lisbeth Salander""}"
Winner,"Meryl Streep -- The Iron Lady {""Margaret Thatcher""}"
Nominee,"Michelle Williams -- My Week with Marilyn {""Marilyn Monroe""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Bérénice Bejo -- The Artist {""Peppy Miller""}"
Nominee,"Jessica Chastain -- The Help {""Celia Foote""}"
Nominee,"Melissa McCarthy -- Bridesmaids {""Megan""}"
Nominee,"Janet McTeer -- Albert Nobbs {""Hubert Page""}"
Winner,"Octavia Spencer -- The Help {""Minny Jackson""}"
NA,DIRECTING
Winner,The Artist -- Michel Hazanavicius
Nominee,The Descendants -- Alexander Payne
Nominee,Hugo -- Martin Scorsese
Nominee,Midnight in Paris -- Woody Allen
Nominee,The Tree of Life -- Terrence Malick
NA,BEST PICTURE
Winner,"The Artist -- Thomas Langmann, Producer"
Nominee,"The Descendants -- Jim Burke, Alexander Payne and Jim Taylor, Producers"
Nominee,"Extremely Loud & Incredibly Close -- Scott Rudin, Producer"
Nominee,"The Help -- Brunson Green, Chris Columbus and Michael Barnathan, Producers"
Nominee,"Hugo -- Graham King and Martin Scorsese, Producers"
Nominee,"Midnight in Paris -- Letty Aronson and Stephen Tenenbaum, Producers"
Nominee,"Moneyball -- Michael De Luca, Rachael Horovitz and Brad Pitt, Producers"
Nominee,"The Tree of Life -- Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers"
Nominee,"War Horse -- Steven Spielberg and Kathleen Kennedy, Producers"
NA,2012 (85th)
NA,ACTOR IN A LEADING ROLE
Nominee,"Bradley Cooper -- Silver Linings Playbook {""Pat""}"
Winner,"Daniel Day-Lewis -- Lincoln {""Abraham Lincoln""}"
