original_title,id
1917,530915
1917,530915
12 Years a Slave,76203
12 Years a Slave,76203
12 Years a Slave,76203
12 Years a Slave,76203
12 Years a Slave,76203
127 Hours,44115
127 Hours,44115
45 Years,311291
A Beautiful Day in the Neighborhood,501907
A Better Life,55720
A Complete Unknown,661539
A Complete Unknown,661539
A Complete Unknown,661539
A Complete Unknown,661539
A Complete Unknown,661539
A Real Pain,1013850
A Star Is Born,332562
A Star Is Born,332562
A Star Is Born,332562
A Star Is Born,332562
Aftersun,965150
Albert Nobbs,73873
Albert Nobbs,73873
All Quiet on the Western Front,49046
All the Money in the World,446791
American Fiction,1056360
American Fiction,1056360
American Fiction,1056360
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Sniper,190859
American Sniper,190859
Amour,86837
Amour,86837
Amour,86837
Anatomy of a Fall,915935
Anatomy of a Fall,915935
Anatomy of a Fall,915935
Animal Kingdom,44629
Anora,1064213
Anora,1064213
Anora,1064213
Anora,1064213
Another Round,580175
Argo,68734
Argo,68734
Arrival,329865
Arrival,329865
At Eternity's Gate,491472
August: Osage County,152737
August: Osage County,152737
Avatar: The Way of Water,76600
Barbie,346698
Barbie,346698
Barbie,346698
Beasts of the Southern Wild,84175
Beasts of the Southern Wild,84175
Beasts of the Southern Wild,84175
Beginners,55347
Being the Ricardos,517088
Being the Ricardos,517088
Being the Ricardos,517088
Belfast,777270
Belfast,777270
Belfast,777270
Belfast,777270
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Biutiful,45958
Black Panther,284054
Black Panther: Wakanda Forever,505642
Black Swan,44214
Black Swan,44214
Black Swan,44214
BlacKkKlansman,487558
BlacKkKlansman,487558
BlacKkKlansman,487558
Blonde,301502
Blue Jasmine,160588
Blue Jasmine,160588
Blue Valentine,46705
Bohemian Rhapsody,424694
Bohemian Rhapsody,424694
Bombshell,525661
Bombshell,525661
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,740985
Boyhood,85350
Boyhood,85350
Boyhood,85350
Boyhood,85350
Bridesmaids,55721
Bridge of Spies,296098
Bridge of Spies,296098
Brooklyn,167073
Brooklyn,167073
Call Me by Your Name,398818
Call Me by Your Name,398818
Can You Ever Forgive Me?,401847
Can You Ever Forgive Me?,401847
Captain Fantastic,334533
Captain Phillips,109424
Captain Phillips,109424
Carol,258480
Carol,258480
Causeway,595586
CODA,776503
CODA,776503
Cold War,440298
Conclave,974576
Conclave,974576
Conclave,974576
Creed,312221
Dallas Buyers Club,152532
Dallas Buyers Club,152532
Dallas Buyers Club,152532
Darkest Hour,399404
Darkest Hour,399404
Django Unchained,68718
Django Unchained,68718
Don't Look Up,646380
Drive My Car,758866
Drive My Car,758866
Dune,438631
Dune: Part Two,693134
Dunkirk,374720
Dunkirk,374720
Elle,337674
Elvis,614934
Elvis,614934
Emilia Pérez,974950
Emilia Pérez,974950
Emilia Pérez,974950
Emilia Pérez,974950
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Extremely Loud & Incredibly Close,64685
Extremely Loud & Incredibly Close,64685
Fences,393457
Fences,393457
Fences,393457
Flight,87502
Florence Foster Jenkins,315664
Ford v Ferrari,359724
Foxcatcher,87492
Foxcatcher,87492
Foxcatcher,87492
Get Out,419430
Get Out,419430
Get Out,419430
Gone Girl,210577
Gravity,49047
Gravity,49047
Gravity,49047
Green Book,490132
Green Book,490132
Green Book,490132
Hacksaw Ridge,324786
Hacksaw Ridge,324786
Hacksaw Ridge,324786
Harriet,506528
Hell or High Water,338766
Hell or High Water,338766
Her,152601
Hidden Figures,381284
Hidden Figures,381284
Hillbilly Elegy,592984
Hugo,44826
Hugo,44826
"I, Tonya",389015
"I, Tonya",389015
I'm Still Here,1000837
I'm Still Here,1000837
If Beale Street Could Talk,465914
Inception,27205
Into the Woods,224141
Jackie,376866
Jojo Rabbit,515001
Jojo Rabbit,515001
Joker,475557
Joker,475557
Joker,475557
Joy,274479
Judas and the Black Messiah,583406
Judas and the Black Messiah,583406
Judas and the Black Messiah,583406
Judy,491283
Killers of the Flower Moon,466420
Killers of the Flower Moon,466420
Killers of the Flower Moon,466420
Killers of the Flower Moon,466420
King Richard,614917
King Richard,614917
King Richard,614917
La La Land,313369
La La Land,313369
La La Land,313369
La La Land,313369
Lady Bird,391713
Lady Bird,391713
Lady Bird,391713
Lady Bird,391713
Les Misérables,82695
Les Misérables,82695
Les Misérables,82695
Licorice Pizza,718032
Licorice Pizza,718032
Life of Pi,87827
Life of Pi,87827
Lincoln,72976
Lincoln,72976
Lincoln,72976
Lincoln,72976
Lincoln,72976
Lion,334543
Lion,334543
Lion,334543
Little Women,331482
Little Women,331482
Little Women,331482
Living,760099
Loving,339419
Ma Rainey's Black Bottom,615667
Ma Rainey's Black Bottom,615667
Mad Max: Fury Road,76341
Mad Max: Fury Road,76341
Maestro,523607
Maestro,523607
Maestro,523607
Manchester by the Sea,334541
Manchester by the Sea,334541
Manchester by the Sea,334541
Manchester by the Sea,334541
Manchester by the Sea,334541
Mank,614560
Mank,614560
Mank,614560
Mank,614560
Marriage Story,492188
Marriage Story,492188
Marriage Story,492188
Marriage Story,492188
Midnight in Paris,59436
Midnight in Paris,59436
Minari,615643
Minari,615643
Minari,615643
Minari,615643
Moneyball,60308
Moneyball,60308
Moneyball,60308
Moonlight,376867
Moonlight,376867
Moonlight,376867
Moonlight,376867
Mudbound,414425
My Week with Marilyn,75900
My Week with Marilyn,75900
Nebraska,129670
Nebraska,129670
Nebraska,129670
Nebraska,129670
Nickel Boys,1028196
Nightmare Alley,597208
Nocturnal Animals,340666
Nomadland,581734
Nomadland,581734
Nomadland,581734
Nyad,895549
Nyad,895549
Once upon a Time...in Hollywood,466272
Once upon a Time...in Hollywood,466272
Once upon a Time...in Hollywood,466272
Once upon a Time...in Hollywood,466272
One Night in Miami...,661914
Oppenheimer,872585
Oppenheimer,872585
Oppenheimer,872585
Oppenheimer,872585
Oppenheimer,872585
Pain and Glory,519010
Parallel Mothers,766798
Parasite,496243
Parasite,496243
Past Lives,666277
Phantom Thread,400617
Phantom Thread,400617
Phantom Thread,400617
Phantom Thread,400617
Philomena,205220
Philomena,205220
Pieces of a Woman,641662
Poor Things,792307
Poor Things,792307
Poor Things,792307
Poor Things,792307
Promising Young Woman,582014
Promising Young Woman,582014
Promising Young Woman,582014
Rabbit Hole,27585
Richard Jewell,292011
Roma,426426
Roma,426426
Roma,426426
Roma,426426
"Roman J. Israel, Esq.",413362
Room,264644
Room,264644
Room,264644
Rustin,898713
Selma,273895
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Sing Sing,1155828
Sound of Metal,502033
Sound of Metal,502033
Sound of Metal,502033
Spencer,716612
Spotlight,314365
Spotlight,314365
Spotlight,314365
Spotlight,314365
Steve Jobs,321697
Steve Jobs,321697
Still Alice,284293
Tár,817758
Tár,817758
Tár,817758
The Apprentice,1182047
The Apprentice,1182047
The Artist,74643
The Artist,74643
The Artist,74643
The Artist,74643
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Big Short,318846
The Big Short,318846
The Big Short,318846
The Brutalist,549509
The Brutalist,549509
The Brutalist,549509
The Brutalist,549509
