tmdb_id,title,director,top_cast,genres,release_date,budget
530915,1917,Sam Mendes,"George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch, Daniel Mays, Adrian Scarborough, Chris Walley, Nabhaan Rizwan, Jamie Parker, Tommy French, Paul Tinto","War, History, Drama",2019-12-25,100000000
76203,12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano, Sarah Paulson, Adepero Oduye, Scoot McNairy, Paul Giamatti, Brad Pitt, Michael Kenneth Williams, Alfre Woodard, Chris Chalk, Taran Killam, Bill Camp","Drama, History",2013-10-18,20000000
44115,127 Hours,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan, Kate Burton, Treat Williams, Sean Bott, Fenton Quinn, John Lawrence, Pieter Jan Brugge, Rebecca C. Olson, Jeffrey Wood, Norman Lehnert, Darin Southam","Adventure, Drama, Thriller",2010-11-12,18000000
311291,45 Years,Andrew Haigh,"Charlotte Rampling, Tom Courtenay, Geraldine James, Dolly Wells, David Sibley, Sam Alexander, Richard Cunningham, Hannah Chalmers, Camille Ucan, Rufus Wright","Drama, Romance",2015-05-29,0
501907,A Beautiful Day in the Neighborhood,Marielle Heller,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson, Maryann Plunkett, Enrico Colantoni, Wendy Makkena, Tammy Blanchard, Noah Harpster, Carmen Cusack, Kelley Davis, Christine Lahti, Maddie Corman, Daniel Krell, Jon L Peacock","History, Family, Drama",2019-09-07,25000000
55720,A Better Life,Chris Weitz,"Demián Bichir, José Julián, Chelsea Rendon, Dolores Heredia, Joaquín Cosío, Carlos Linares, Bobby Soto, Nancy Lenehan, Gabriel Chavarria, Tim Griffin, Isabella Rae Thomas, Giselle Nieto, Eddie 'Piolin' Sotelo",Drama,2011-06-24,10000000
661539,A Complete Unknown,James Mangold,"Timothée Chalamet, Edward Norton, Elle Fanning, Monica Barbaro, Scoot McNairy, Dan Fogler, Boyd Holbrook, Will Harrison, Joe Tippett, Eriko Hatsune, Peter Gray Lewis, Peter Gerety, Lenny Grossman, David Wenzel, Riley Hashimoto","Drama, Music",2024-12-25,65000000
1013850,A Real Pain,Jesse Eisenberg,"Jesse Eisenberg, Kieran Culkin, Will Sharpe, Jennifer Grey, Kurt Egyiawan, Liza Sadovy, Daniel Oreskes, Ellora Torchia, Banner Eisenberg, Olha Bosova, Jakub Gąsowski, Piotr Czarniecki, Krzysztof Jaszczak, Marek Kasprzyk, Jakub Pruski","Comedy, Drama",2024-11-01,3000000
332562,A Star Is Born,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Rafi Gavron, Anthony Ramos, Dave Chappelle, Alec Baldwin, Marlon Williams, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field","Music, Drama, Romance",2018-10-03,36000000
965150,Aftersun,Charlotte Wells,"Paul Mescal, Frankie Corio, Brooklyn Toulson, Celia Rowlson-Hall, Sally Messham, Ayşe Parlak, Sophia Lamanova, Spike Fearn, Harry Perdios, Frank Corio, Ruby Thompson, Ethan James Smith, Onur Ekşioğlu, Cafer Karahan, Kayleigh Coleman",Drama,2022-10-21,0
73873,Albert Nobbs,Rodrigo García,"Glenn Close, Mia Wasikowska, Aaron Taylor-Johnson, Janet McTeer, Pauline Collins, Brenda Fricker, Jonathan Rhys Meyers, Brendan Gleeson, Maria Doyle Kennedy, Antonia Campbell-Hughes, Mark Williams, James Greene, Bronagh Gallagher, John Light, Serena Brabazon",Drama,2011-12-21,8000000
49046,All Quiet on the Western Front,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus, Adrian Grünewald, Edin Hasanović, Daniel Brühl, Thibault de Montalembert, Devid Striesow, Andreas Döhler, Sebastian Hülk, Luc Feit, Michael Wittenborn, Michael Stange, Sascha Nathan","War, Drama",2022-10-07,20000000
446791,All the Money in the World,Ridley Scott,"Michelle Williams, Mark Wahlberg, Christopher Plummer, Charlie Plummer, Romain Duris, Timothy Hutton, Charlie Shotwell, Andrew Buchan, Marco Leonardi, Giuseppe Bonifati, Nicolas Vaporidis, Andrea Piedimonte Bodini, Guglielmo Favilla, Adele Tirante, Stacy Martin","Crime, History, Thriller",2017-12-21,50000000
