"","Film","director","Actor","Award_Status","Ceremony_Year","Session","Category","Role","Status"
"1","1917","Sam Mendes","George MacKay",NA,NA,NA,NA,NA,"Non-Nominee"
"2","1917","Sam Mendes","Dean-Charles Chapman",NA,NA,NA,NA,NA,"Non-Nominee"
"3","1917","Sam Mendes","Mark Strong",NA,NA,NA,NA,NA,"Non-Nominee"
"4","1917","Sam Mendes","Andrew Scott",NA,NA,NA,NA,NA,"Non-Nominee"
"5","1917","Sam Mendes","Richard Madden",NA,NA,NA,NA,NA,"Non-Nominee"
"6","1917","Sam Mendes","Claire Duburcq",NA,NA,NA,NA,NA,"Non-Nominee"
"7","1917","Sam Mendes","Colin Firth",NA,NA,NA,NA,NA,"Non-Nominee"
"8","1917","Sam Mendes","Benedict Cumberbatch",NA,NA,NA,NA,NA,"Non-Nominee"
"9","1917","Sam Mendes","Daniel Mays",NA,NA,NA,NA,NA,"Non-Nominee"
"10","1917","Sam Mendes","Adrian Scarborough",NA,NA,NA,NA,NA,"Non-Nominee"
"11","1917","Sam Mendes","Chris Walley",NA,NA,NA,NA,NA,"Non-Nominee"
"12","1917","Sam Mendes","Nabhaan Rizwan",NA,NA,NA,NA,NA,"Non-Nominee"
"13","1917","Sam Mendes","Jamie Parker",NA,NA,NA,NA,NA,"Non-Nominee"
"14","1917","Sam Mendes","Tommy French",NA,NA,NA,NA,NA,"Non-Nominee"
"15","1917","Sam Mendes","Paul Tinto",NA,NA,NA,NA,NA,"Non-Nominee"
"16","A Complete Unknown","James Mangold","Timothée Chalamet","Nominee","2024","97","ACTOR IN A LEADING ROLE","Bob Dylan","Nominee"
"17","A Complete Unknown","James Mangold","Edward Norton","Nominee","2024","97","ACTOR IN A SUPPORTING ROLE","Pete Seeger","Nominee"
"18","A Complete Unknown","James Mangold","Elle Fanning",NA,NA,NA,NA,NA,"Non-Nominee"
"19","A Complete Unknown","James Mangold","Monica Barbaro","Nominee","2024","97","ACTRESS IN A SUPPORTING ROLE","Joan Baez","Nominee"
"20","A Complete Unknown","James Mangold","Scoot McNairy",NA,NA,NA,NA,NA,"Non-Nominee"
"21","A Complete Unknown","James Mangold","Dan Fogler",NA,NA,NA,NA,NA,"Non-Nominee"
"22","A Complete Unknown","James Mangold","Boyd Holbrook",NA,NA,NA,NA,NA,"Non-Nominee"
"23","A Complete Unknown","James Mangold","Will Harrison",NA,NA,NA,NA,NA,"Non-Nominee"
"24","A Complete Unknown","James Mangold","Joe Tippett",NA,NA,NA,NA,NA,"Non-Nominee"
"25","A Complete Unknown","James Mangold","Eriko Hatsune",NA,NA,NA,NA,NA,"Non-Nominee"
"26","A Complete Unknown","James Mangold","Peter Gray Lewis",NA,NA,NA,NA,NA,"Non-Nominee"
"27","A Complete Unknown","James Mangold","Peter Gerety",NA,NA,NA,NA,NA,"Non-Nominee"
"28","A Complete Unknown","James Mangold","Lenny Grossman",NA,NA,NA,NA,NA,"Non-Nominee"
"29","A Complete Unknown","James Mangold","David Wenzel",NA,NA,NA,NA,NA,"Non-Nominee"
"30","A Complete Unknown","James Mangold","Riley Hashimoto",NA,NA,NA,NA,NA,"Non-Nominee"
"31","All the Money in the World","Ridley Scott","Michelle Williams",NA,NA,NA,NA,NA,"Non-Nominee"
"32","All the Money in the World","Ridley Scott","Mark Wahlberg",NA,NA,NA,NA,NA,"Non-Nominee"
"33","All the Money in the World","Ridley Scott","Christopher Plummer","Nominee","2017","90","ACTOR IN A SUPPORTING ROLE","J. Paul Getty","Nominee"
"34","All the Money in the World","Ridley Scott","Charlie Plummer",NA,NA,NA,NA,NA,"Non-Nominee"
"35","All the Money in the World","Ridley Scott","Romain Duris",NA,NA,NA,NA,NA,"Non-Nominee"
"36","All the Money in the World","Ridley Scott","Timothy Hutton",NA,NA,NA,NA,NA,"Non-Nominee"
"37","All the Money in the World","Ridley Scott","Charlie Shotwell",NA,NA,NA,NA,NA,"Non-Nominee"
"38","All the Money in the World","Ridley Scott","Andrew Buchan",NA,NA,NA,NA,NA,"Non-Nominee"
"39","All the Money in the World","Ridley Scott","Marco Leonardi",NA,NA,NA,NA,NA,"Non-Nominee"
