Award_Status,Ceremony_Year,Session,Category,Nominee,Film,Role
Nominee,2010,83,ACTOR IN A LEADING ROLE,Javier Bardem,Biutiful,Uxbal
Nominee,2010,83,ACTOR IN A LEADING ROLE,Jeff Bridges,True Grit,Rooster Cogburn
Nominee,2010,83,ACTOR IN A LEADING ROLE,Jesse Eisenberg,The Social Network,Mark Zuckerberg
Winner,2010,83,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,King George VI
Nominee,2010,83,ACTOR IN A LEADING ROLE,James Franco,127 Hours,Aron Ralston
Winner,2010,83,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Fighter,Dicky Eklund
Nominee,2010,83,ACTOR IN A SUPPORTING ROLE,John Hawkes,Winter's Bone,Teardrop
Nominee,2010,83,ACTOR IN A SUPPORTING ROLE,Jeremy Renner,The Town,James Coughlin
Nominee,2010,83,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,The Kids Are All Right,Paul
Nominee,2010,83,ACTOR IN A SUPPORTING ROLE,Geoffrey Rush,The King's Speech,Lionel Logue
Nominee,2010,83,ACTRESS IN A LEADING ROLE,Annette Bening,The Kids Are All Right,Nic
Nominee,2010,83,ACTRESS IN A LEADING ROLE,Nicole Kidman,Rabbit Hole,Becca
Nominee,2010,83,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Winter's Bone,Ree
Winner,2010,83,ACTRESS IN A LEADING ROLE,Natalie Portman,Black Swan,Nina Sayers/The Swan Queen
Nominee,2010,83,ACTRESS IN A LEADING ROLE,Michelle Williams,Blue Valentine,Cindy
Nominee,2010,83,ACTRESS IN A SUPPORTING ROLE,Amy Adams,The Fighter,Charlene Fleming
Nominee,2010,83,ACTRESS IN A SUPPORTING ROLE,Helena Bonham Carter,The King's Speech,Queen Elizabeth
Winner,2010,83,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,The Fighter,Alice Ward
Nominee,2010,83,ACTRESS IN A SUPPORTING ROLE,Hailee Steinfeld,True Grit,Mattie Ross
Nominee,2010,83,ACTRESS IN A SUPPORTING ROLE,Jacki Weaver,Animal Kingdom,Janine 'Smurf' Cody
Nominee,2010,83,DIRECTING,Black Swan,NA,NA
Nominee,2010,83,DIRECTING,The Fighter,NA,NA
Winner,2010,83,DIRECTING,The King's Speech,NA,NA
Nominee,2010,83,DIRECTING,The Social Network,NA,NA
Nominee,2010,83,DIRECTING,True Grit,NA,NA
Nominee,2010,83,BEST PICTURE,Black Swan,NA,NA
Nominee,2010,83,BEST PICTURE,The Fighter,NA,NA
Nominee,2010,83,BEST PICTURE,Inception,NA,NA
Nominee,2010,83,BEST PICTURE,The Kids Are All Right,NA,NA
Winner,2010,83,BEST PICTURE,The King's Speech,NA,NA
Nominee,2010,83,BEST PICTURE,127 Hours,NA,NA
Nominee,2010,83,BEST PICTURE,The Social Network,NA,NA
Nominee,2010,83,BEST PICTURE,Toy Story 3,NA,NA
Nominee,2010,83,BEST PICTURE,True Grit,NA,NA
Nominee,2010,83,BEST PICTURE,Winter's Bone,NA,NA
Nominee,2011,84,ACTOR IN A LEADING ROLE,Demián Bichir,A Better Life,Carlos Galindo
Nominee,2011,84,ACTOR IN A LEADING ROLE,George Clooney,The Descendants,Matt King
Winner,2011,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,George Valentin
Nominee,2011,84,ACTOR IN A LEADING ROLE,Gary Oldman,Tinker Tailor Soldier Spy,George Smiley
Nominee,2011,84,ACTOR IN A LEADING ROLE,Brad Pitt,Moneyball,Billy Beane
Nominee,2011,84,ACTOR IN A SUPPORTING ROLE,Kenneth Branagh,My Week with Marilyn,Sir Laurence Olivier
Nominee,2011,84,ACTOR IN A SUPPORTING ROLE,Jonah Hill,Moneyball,Peter Brand
Nominee,2011,84,ACTOR IN A SUPPORTING ROLE,Nick Nolte,Warrior,Paddy Conlon
Winner,2011,84,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners,Hal
Nominee,2011,84,ACTOR IN A SUPPORTING ROLE,Max von Sydow,Extremely Loud & Incredibly Close,The Renter
Nominee,2011,84,ACTRESS IN A LEADING ROLE,Glenn Close,Albert Nobbs,Albert Nobbs
Nominee,2011,84,ACTRESS IN A LEADING ROLE,Viola Davis,The Help,Aibileen Clark
Nominee,2011,84,ACTRESS IN A LEADING ROLE,Rooney Mara,The Girl with the Dragon Tattoo,Lisbeth Salander
Winner,2011,84,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,Margaret Thatcher
Nominee,2011,84,ACTRESS IN A LEADING ROLE,Michelle Williams,My Week with Marilyn,Marilyn Monroe
Nominee,2011,84,ACTRESS IN A SUPPORTING ROLE,Bérénice Bejo,The Artist,Peppy Miller
Nominee,2011,84,ACTRESS IN A SUPPORTING ROLE,Jessica Chastain,The Help,Celia Foote
Nominee,2011,84,ACTRESS IN A SUPPORTING ROLE,Melissa McCarthy,Bridesmaids,Megan
Nominee,2011,84,ACTRESS IN A SUPPORTING ROLE,Janet McTeer,Albert Nobbs,Hubert Page
Winner,2011,84,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help,Minny Jackson
Winner,2011,84,DIRECTING,The Artist,NA,NA
Nominee,2011,84,DIRECTING,The Descendants,NA,NA
Nominee,2011,84,DIRECTING,Hugo,NA,NA
Nominee,2011,84,DIRECTING,Midnight in Paris,NA,NA
Nominee,2011,84,DIRECTING,The Tree of Life,NA,NA
Winner,2011,84,BEST PICTURE,The Artist,NA,NA
Nominee,2011,84,BEST PICTURE,The Descendants,NA,NA
Nominee,2011,84,BEST PICTURE,Extremely Loud & Incredibly Close,NA,NA
Nominee,2011,84,BEST PICTURE,The Help,NA,NA
Nominee,2011,84,BEST PICTURE,Hugo,NA,NA
Nominee,2011,84,BEST PICTURE,Midnight in Paris,NA,NA
Nominee,2011,84,BEST PICTURE,Moneyball,NA,NA
Nominee,2011,84,BEST PICTURE,The Tree of Life,NA,NA
Nominee,2011,84,BEST PICTURE,War Horse,NA,NA
Nominee,2012,85,ACTOR IN A LEADING ROLE,Bradley Cooper,Silver Linings Playbook,Pat
Winner,2012,85,ACTOR IN A LEADING ROLE,Daniel Day,Lincoln,Abraham Lincoln
Nominee,2012,85,ACTOR IN A LEADING ROLE,Hugh Jackman,Les Misérables,Jean Valjean
Nominee,2012,85,ACTOR IN A LEADING ROLE,Joaquin Phoenix,The Master,Freddie Quell
Nominee,2012,85,ACTOR IN A LEADING ROLE,Denzel Washington,Flight,Whip Whitaker
Nominee,2012,85,ACTOR IN A SUPPORTING ROLE,Alan Arkin,Argo,Lester Siegel
Nominee,2012,85,ACTOR IN A SUPPORTING ROLE,Robert De Niro,Silver Linings Playbook,Pat Sr.
Nominee,2012,85,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,The Master,Lancaster Dodd
Nominee,2012,85,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,Lincoln,Thaddeus Stevens
Winner,2012,85,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained,Dr. King Schultz
Nominee,2012,85,ACTRESS IN A LEADING ROLE,Jessica Chastain,Zero Dark Thirty,Maya
Winner,2012,85,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Silver Linings Playbook,Tiffany
Nominee,2012,85,ACTRESS IN A LEADING ROLE,Emmanuelle Riva,Amour,Anne
Nominee,2012,85,ACTRESS IN A LEADING ROLE,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy
Nominee,2012,85,ACTRESS IN A LEADING ROLE,Naomi Watts,The Impossible,Maria
Nominee,2012,85,ACTRESS IN A SUPPORTING ROLE,Amy Adams,The Master,Peggy Dodd
Nominee,2012,85,ACTRESS IN A SUPPORTING ROLE,Sally Field,Lincoln,Mary Todd Lincoln
Winner,2012,85,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,Les Misérables,Fantine
Nominee,2012,85,ACTRESS IN A SUPPORTING ROLE,Helen Hunt,The Sessions,Cheryl
Nominee,2012,85,ACTRESS IN A SUPPORTING ROLE,Jacki Weaver,Silver Linings Playbook,Dolores
Nominee,2012,85,DIRECTING,Amour,NA,NA
Nominee,2012,85,DIRECTING,Beasts of the Southern Wild,NA,NA
Winner,2012,85,DIRECTING,Life of Pi,NA,NA
Nominee,2012,85,DIRECTING,Lincoln,NA,NA
Nominee,2012,85,DIRECTING,Silver Linings Playbook,NA,NA
Nominee,2012,85,BEST PICTURE,Amour,NA,NA
Winner,2012,85,BEST PICTURE,Argo,NA,NA
Nominee,2012,85,BEST PICTURE,Beasts of the Southern Wild,NA,NA
Nominee,2012,85,BEST PICTURE,Django Unchained,NA,NA
Nominee,2012,85,BEST PICTURE,Les Misérables,NA,NA
Nominee,2012,85,BEST PICTURE,Life of Pi,NA,NA
Nominee,2012,85,BEST PICTURE,Lincoln,NA,NA
Nominee,2012,85,BEST PICTURE,Silver Linings Playbook,NA,NA
Nominee,2012,85,BEST PICTURE,Zero Dark Thirty,NA,NA
Nominee,2013,86,ACTOR IN A LEADING ROLE,Christian Bale,American Hustle,Irving Rosenfeld
Nominee,2013,86,ACTOR IN A LEADING ROLE,Bruce Dern,Nebraska,Woody Grant
Nominee,2013,86,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Wolf of Wall Street,Jordan Belfort
Nominee,2013,86,ACTOR IN A LEADING ROLE,Chiwetel Ejiofor,12 Years a Slave,Solomon Northup
Winner,2013,86,ACTOR IN A LEADING ROLE,Matthew McConaughey,Dallas Buyers Club,Ron Woodroof
Nominee,2013,86,ACTOR IN A SUPPORTING ROLE,Barkhad Abdi,Captain Phillips,Muse
Nominee,2013,86,ACTOR IN A SUPPORTING ROLE,Bradley Cooper,American Hustle,Richie DiMaso
Nominee,2013,86,ACTOR IN A SUPPORTING ROLE,Michael Fassbender,12 Years a Slave,Edwin Epps
Nominee,2013,86,ACTOR IN A SUPPORTING ROLE,Jonah Hill,The Wolf of Wall Street,Donnie Azoff
Winner,2013,86,ACTOR IN A SUPPORTING ROLE,Jared Leto,Dallas Buyers Club,Rayon
Nominee,2013,86,ACTRESS IN A LEADING ROLE,Amy Adams,American Hustle,Sydney Prosser
Winner,2013,86,ACTRESS IN A LEADING ROLE,Cate Blanchett,Blue Jasmine,Jasmine
Nominee,2013,86,ACTRESS IN A LEADING ROLE,Sandra Bullock,Gravity,Ryan Stone
Nominee,2013,86,ACTRESS IN A LEADING ROLE,Judi Dench,Philomena,Philomena
Nominee,2013,86,ACTRESS IN A LEADING ROLE,Meryl Streep,August: Osage County,Violet Weston
Nominee,2013,86,ACTRESS IN A SUPPORTING ROLE,Sally Hawkins,Blue Jasmine,Ginger
Nominee,2013,86,ACTRESS IN A SUPPORTING ROLE,Jennifer Lawrence,American Hustle,Rosalyn Rosenfeld
Winner,2013,86,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,12 Years a Slave,Patsey
Nominee,2013,86,ACTRESS IN A SUPPORTING ROLE,Julia Roberts,August: Osage County,Barbara Weston
Nominee,2013,86,ACTRESS IN A SUPPORTING ROLE,June Squibb,Nebraska,Kate Grant
Nominee,2013,86,DIRECTING,American Hustle,NA,NA
Winner,2013,86,DIRECTING,Gravity,NA,NA
