tmdb_id,title,director,genres,release_date,budget,Cast 1,Cast 2,Cast 3,Cast 4,Cast 5,Cast 6,Cast 7,Cast 8,Cast 9,Cast 10,Cast 11,Cast 12,Cast 13,Cast 14,Cast 15
530915,1917,Sam Mendes,"War, History, Drama",2019-12-25,100000000,George MacKay,Dean-Charles Chapman,Mark Strong,Andrew Scott,Richard Madden,Claire Duburcq,Colin Firth,Benedict Cumberbatch,Daniel Mays,Adrian Scarborough,Chris Walley,Nabhaan Rizwan,Jamie Parker,Tommy French,Paul Tinto
76203,12 Years a Slave,Steve McQueen,"Drama, History",2013-10-18,20000000,Chiwetel Ejiofor,Michael Fassbender,Lupita Nyong'o,Benedict Cumberbatch,Paul Dano,Sarah Paulson,Adepero Oduye,Scoot McNairy,Paul Giamatti,Brad Pitt,Michael Kenneth Williams,Alfre Woodard,Chris Chalk,Taran Killam,Bill Camp
44115,127 Hours,Danny Boyle,"Adventure, Drama, Thriller",2010-11-12,18000000,James Franco,Kate Mara,Amber Tamblyn,Clémence Poésy,Lizzy Caplan,Kate Burton,Treat Williams,Sean Bott,Fenton Quinn,John Lawrence,Pieter Jan Brugge,Rebecca C. Olson,Jeffrey Wood,Norman Lehnert,Darin Southam
311291,45 Years,Andrew Haigh,"Drama, Romance",2015-05-29,0,Charlotte Rampling,Tom Courtenay,Geraldine James,Dolly Wells,David Sibley,Sam Alexander,Richard Cunningham,Hannah Chalmers,Camille Ucan,Rufus Wright,,,,,
501907,A Beautiful Day in the Neighborhood,Marielle Heller,"History, Family, Drama",2019-09-07,25000000,Matthew Rhys,Tom Hanks,Chris Cooper,Susan Kelechi Watson,Maryann Plunkett,Enrico Colantoni,Wendy Makkena,Tammy Blanchard,Noah Harpster,Carmen Cusack,Kelley Davis,Christine Lahti,Maddie Corman,Daniel Krell,Jon L Peacock
55720,A Better Life,Chris Weitz,Drama,2011-06-24,10000000,Demián Bichir,José Julián,Chelsea Rendon,Dolores Heredia,Joaquín Cosío,Carlos Linares,Bobby Soto,Nancy Lenehan,Gabriel Chavarria,Tim Griffin,Isabella Rae Thomas,Giselle Nieto,Eddie 'Piolin' Sotelo,,
661539,A Complete Unknown,James Mangold,"Drama, Music",2024-12-25,65000000,Timothée Chalamet,Edward Norton,Elle Fanning,Monica Barbaro,Scoot McNairy,Dan Fogler,Boyd Holbrook,Will Harrison,Joe Tippett,Eriko Hatsune,Peter Gray Lewis,Peter Gerety,Lenny Grossman,David Wenzel,Riley Hashimoto
1013850,A Real Pain,Jesse Eisenberg,"Comedy, Drama",2024-11-01,3000000,Jesse Eisenberg,Kieran Culkin,Will Sharpe,Jennifer Grey,Kurt Egyiawan,Liza Sadovy,Daniel Oreskes,Ellora Torchia,Banner Eisenberg,Olha Bosova,Jakub Gąsowski,Piotr Czarniecki,Krzysztof Jaszczak,Marek Kasprzyk,Jakub Pruski
332562,A Star Is Born,Bradley Cooper,"Music, Drama, Romance",2018-10-03,36000000,Lady Gaga,Bradley Cooper,Sam Elliott,Andrew Dice Clay,Rafi Gavron,Anthony Ramos,Dave Chappelle,Alec Baldwin,Marlon Williams,Brandi Carlile,Ron Rifkin,Barry Shabaka Henley,Michael D. Roberts,Michael Harney,Rebecca Field
965150,Aftersun,Charlotte Wells,Drama,2022-10-21,0,Paul Mescal,Frankie Corio,Brooklyn Toulson,Celia Rowlson-Hall,Sally Messham,Ayşe Parlak,Sophia Lamanova,Spike Fearn,Harry Perdios,Frank Corio,Ruby Thompson,Ethan James Smith,Onur Ekşioğlu,Cafer Karahan,Kayleigh Coleman
